Gender,Scholarship holder,Debtor,Tuition fees up to date,Displaced,Educational special needs,International,Daytime/evening attendance,Mother's qualification,Father's qualification,Course,Application mode,Application order,Mother's occupation,Father's occupation,Previous qualification,Marital status,Nacionality,Previous qualification (grade),Admission grade,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Unemployment rate,Inflation rate,GDP,approval_rate_sem1,grade_momentum,evaluation_intensity_sem1,credit_utilization_sem1,financial_stress,parent_education,disengagement_sem1,perfect_sem1
1,0,0,1,0,0,0,1,37,3,9147,39,1,9,2,1,1,1,140.0,135.1,61.0,0.0,5.0,0.0,0.0,0.0,0.0,15.5,2.8,-4.06,0.0,-13.51,0.0,0.0,1,20.0,0,0
1,0,0,0,1,0,0,1,3,19,9254,1,5,3,9,1,1,1,120.0,114.8,19.0,0.0,6.0,0.0,0.0,0.0,0.0,8.9,1.4,3.51,0.0,-11.48,0.0,0.0,2,11.0,0,0
1,0,0,1,0,0,0,1,3,3,9130,18,1,5,2,1,1,1,146.0,137.8,18.0,0.0,6.0,11.0,5.0,13.6,0.0,13.9,-0.3,0.79,83.33333333333334,-0.1800000000000015,1.8333333333333333,0.0,1,3.0,0,0
1,1,0,1,0,0,0,1,19,19,9556,39,2,4,5,1,1,1,130.0,100.0,25.0,0.0,7.0,7.0,2.0,10.0,0.0,15.5,2.8,-4.06,28.57142857142857,0.0,1.0,0.0,0,19.0,0,0
0,0,0,1,0,0,0,1,38,38,9254,51,1,9,9,1,1,1,120.0,118.0,28.0,0.0,6.0,8.0,6.0,12.857142857142858,0.0,8.9,1.4,3.51,100.0,1.057142857142857,1.3333333333333333,0.0,1,38.0,0,1
0,1,1,0,0,0,0,1,19,19,9147,1,1,5,8,1,1,1,116.0,127.9,20.0,0.0,5.0,12.0,2.0,13.0,1.0,9.4,-0.8,-3.12,40.0,0.20999999999999908,2.4,0.0,2,19.0,1,0
0,1,0,1,0,0,0,1,3,3,9070,1,1,3,3,1,1,1,131.0,135.9,21.0,1.0,6.0,8.0,6.0,12.571428571428571,1.0,13.9,-0.3,0.79,100.0,-1.0185714285714287,1.3333333333333333,0.16666666666666666,0,3.0,1,1
1,0,1,0,0,0,0,1,1,1,9085,39,1,4,4,1,1,1,133.1,120.0,31.0,0.0,5.0,13.0,4.0,13.5,1.0,9.4,-0.8,-3.12,80.0,1.5,2.6,0.0,3,1.0,1,0
0,0,0,1,0,0,0,1,1,1,9500,42,1,4,4,1,1,1,133.0,100.0,20.0,1.0,8.0,8.0,7.0,11.571428571428571,0.0,12.7,3.7,-1.7,87.5,1.5714285714285712,1.0,0.125,1,1.0,0,0
0,1,0,1,0,0,0,1,3,19,9254,39,1,2,3,19,1,1,133.1,124.5,36.0,0.0,6.0,7.0,6.0,13.714285714285714,0.0,16.2,0.3,-0.92,100.0,1.2642857142857142,1.1666666666666667,0.0,0,11.0,0,1
1,0,0,1,1,0,0,1,4,38,9119,1,3,2,7,1,1,1,113.0,107.4,18.0,0.0,5.0,8.0,5.0,14.0,0.0,8.9,1.4,3.51,100.0,3.26,1.6,0.0,1,21.0,0,1
0,1,0,1,0,0,0,0,19,1,8014,17,2,1,1,1,1,1,133.1,118.0,20.0,0.0,6.0,6.0,6.0,11.666666666666666,0.0,10.8,1.4,1.74,100.0,-0.13333333333333464,1.0,0.0,0,10.0,0,1
1,0,0,1,1,0,0,1,1,42,9773,51,1,5,3,1,1,1,135.0,110.0,23.0,0.0,6.0,7.0,6.0,13.333333333333334,0.0,11.1,0.6,2.02,100.0,2.333333333333334,1.1666666666666667,0.0,1,21.5,0,1
0,1,1,1,1,0,0,1,1,37,9003,16,1,4,9,1,1,1,147.0,140.7,20.0,13.0,18.0,19.0,18.0,15.052631578947368,0.0,15.5,2.8,-4.06,100.0,0.9826315789473696,1.0555555555555556,0.7222222222222222,1,19.0,0,1
0,1,0,1,0,0,0,1,1,1,9500,1,5,9,9,1,1,1,151.0,127.8,18.0,0.0,8.0,8.0,7.0,13.671428571428573,0.0,12.7,3.7,-1.7,87.5,0.8914285714285732,1.0,0.0,0,1.0,0,0
1,0,0,1,1,0,0,1,1,19,9670,17,2,5,3,1,1,1,132.0,124.0,21.0,0.0,5.0,7.0,3.0,12.333333333333334,0.0,7.6,2.6,0.32,60.0,-0.06666666666666643,1.4,0.0,1,10.0,0,0
0,0,0,1,1,0,0,1,1,38,9085,1,2,5,5,1,1,1,130.0,122.3,18.0,0.0,5.0,10.0,5.0,14.333333333333334,2.0,9.4,-0.8,-3.12,100.0,2.1033333333333335,2.0,0.0,1,19.5,1,1
0,0,0,0,1,0,0,1,38,37,9500,18,6,9,5,1,1,1,142.0,128.0,19.0,0.0,7.0,14.0,0.0,0.0,0.0,11.1,0.6,2.02,0.0,-12.8,2.0,0.0,2,37.5,0,0
1,0,0,1,0,0,0,1,1,1,9147,17,2,4,4,1,1,1,133.1,95.0,20.0,0.0,5.0,14.0,0.0,0.0,0.0,11.1,0.6,2.02,0.0,-9.5,2.8,0.0,1,1.0,0,0
0,1,0,1,1,0,0,1,38,37,9500,1,2,5,6,1,1,1,140.0,124.3,19.0,0.0,7.0,9.0,7.0,13.3125,0.0,13.9,-0.3,0.79,100.0,0.8825000000000003,1.2857142857142858,0.0,0,37.5,0,1
1,0,0,1,1,0,0,1,1,19,9003,44,1,3,10,39,1,1,130.0,130.0,19.0,0.0,6.0,9.0,6.0,12.166666666666666,0.0,12.4,0.5,1.79,100.0,-0.8333333333333339,1.5,0.0,1,10.0,0,1
0,1,0,1,1,0,0,1,19,19,9238,1,2,9,9,1,1,1,133.1,106.0,20.0,0.0,6.0,7.0,6.0,12.571428571428571,0.0,12.4,0.5,1.79,100.0,1.9714285714285715,1.1666666666666667,0.0,0,19.0,0,1
0,0,0,1,1,0,0,1,1,1,9500,1,3,9,9,1,1,1,141.0,126.3,18.0,0.0,8.0,8.0,7.0,13.328571428571427,0.0,12.7,3.7,-1.7,87.5,0.6985714285714284,1.0,0.0,1,1.0,0,0
0,0,0,1,0,0,0,0,19,37,8014,7,1,5,3,3,1,1,120.0,121.3,32.0,7.0,11.0,13.0,11.0,13.454545454545457,0.0,12.7,3.7,-1.7,100.0,1.3245454545454578,1.1818181818181819,0.6363636363636364,1,28.0,0,1
