Gender,Scholarship holder,Debtor,Tuition fees up to date,Displaced,Educational special needs,International,Daytime/evening attendance,Mother's qualification,Father's qualification,Previous qualification (grade),Admission grade,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,approval_rate_sem1,approval_rate_sem2,grade_momentum,grade_decline,evaluation_intensity_sem1,credit_utilization_sem1,total_course_load,financial_stress,parent_education,disengagement_sem1,perfect_sem1,failed_units_sem1,failed_units_sem2,failed_units_total,grade_per_approved_unit_sem1,Course,Application mode,Application order,Mother's occupation,Father's occupation,Previous qualification,Marital status,Nacionality
1,1,1,1,1,0,0,1,1,19,121.0,120.3,19.0,0.0,6.0,6.0,6.0,13.666666666666666,0.0,0.0,6.0,6.0,6.0,13.333333333333334,0.0,8.9,1.4,3.51,100.0,100.0,1.6366666666666667,0.33333333333333215,1.0,0.0,12.0,1,10.0,0,1,0.0,0.0,0.0,2.2777777777777777,14,4,3,24,32,0,0,0
0,1,0,1,1,0,0,1,19,37,127.0,123.9,18.0,0.0,7.0,9.0,7.0,12.855555555555554,0.0,0.0,8.0,12.0,7.0,12.761111111111113,0.0,15.5,2.8,-4.06,100.0,87.5,0.4655555555555537,0.09444444444444144,1.2857142857142858,0.0,15.0,0,28.0,0,1,0.0,1.0,1.0,1.8365079365079364,11,0,0,24,31,0,0,0
1,0,0,1,0,0,0,1,37,37,150.0,112.0,34.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,10.8,1.4,1.74,0.0,0.0,-11.2,0.0,0.0,0.0,12.0,1,37.0,0,0,6.0,6.0,12.0,0.0,5,7,0,25,2,0,1,0
1,0,0,1,0,0,0,1,37,37,133.1,132.0,43.0,0.0,6.0,10.0,4.0,11.75,0.0,0.0,6.0,7.0,0.0,0.0,0.0,15.5,2.8,-4.06,66.66666666666666,0.0,-1.4499999999999993,11.75,1.6666666666666667,0.0,12.0,1,37.0,0,0,2.0,6.0,8.0,2.9375,14,7,0,22,28,0,1,0
0,1,0,1,0,0,0,1,1,1,130.0,124.8,18.0,0.0,6.0,9.0,6.0,11.5,0.0,0.0,6.0,11.0,5.0,14.0,0.0,11.1,0.6,2.02,100.0,83.33333333333334,-0.9800000000000004,-2.5,1.5,0.0,12.0,0,1.0,0,1,0.0,1.0,1.0,1.9166666666666667,9,0,0,19,28,0,0,0
0,0,1,0,0,0,0,1,37,37,120.0,120.0,28.0,0.0,7.0,7.0,0.0,0.0,7.0,0.0,7.0,7.0,0.0,0.0,7.0,13.9,-0.3,0.79,0.0,0.0,-12.0,0.0,1.0,0.0,14.0,3,37.0,1,0,7.0,7.0,14.0,0.0,11,15,0,19,29,5,0,0
0,1,1,0,1,0,0,1,38,37,133.1,99.5,37.0,0.0,7.0,13.0,1.0,16.0,0.0,0.0,7.0,12.0,0.0,0.0,0.0,8.9,1.4,3.51,14.285714285714285,0.0,6.050000000000001,16.0,1.8571428571428572,0.0,14.0,2,37.5,0,0,6.0,7.0,13.0,16.0,12,7,0,22,31,3,1,0
0,0,0,1,1,0,0,1,38,37,129.0,120.0,19.0,0.0,8.0,8.0,7.0,12.454285714285716,0.0,0.0,8.0,8.0,7.0,12.454285714285716,0.0,10.8,1.4,1.74,87.5,87.5,0.4542857142857155,0.0,1.0,0.0,16.0,1,37.5,0,0,1.0,1.0,2.0,1.779183673469388,11,4,3,24,29,0,0,0
0,0,0,1,1,0,0,1,37,37,133.1,129.0,36.0,0.0,7.0,7.0,6.0,11.3,0.0,0.0,7.0,7.0,6.0,11.3,0.0,7.6,2.6,0.32,85.71428571428571,85.71428571428571,-1.5999999999999996,0.0,1.0,0.0,14.0,1,37.0,0,0,1.0,1.0,2.0,1.8833333333333335,11,7,0,24,33,3,1,0
1,0,0,1,0,0,0,1,1,3,130.0,123.0,18.0,0.0,5.0,10.0,1.0,10.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,9.4,-0.8,-3.12,20.0,0.0,-2.3000000000000007,10.0,2.0,0.0,10.0,1,2.0,0,0,4.0,5.0,9.0,10.0,6,4,0,19,26,0,0,0
